1,Santiago Lionel,Lorca,30904465,1999-03-17,2201
1,Agustin Emanuel,Zambrano,21689196,2000-05-10,9325
1,Tiago Nicolás,Rivera,34407251,2001-08-29,1033
1,Camila Rocio,Varela,37130775,1995-05-09,4179
1,Diego Agustin,Mamani,33259835,1991-01-08,1931
1,Marcos Nahuel,Rotman,28625624,2002-09-04,8117
1,Kiara Valentina,Basile,32250087,1987-05-17,7364
1,Joaquin Sebastian,Rivera,21104770,1980-12-11,7737
1,Milagros Jazmin,Sosa,37840762,1991-12-20,6219
1,Diego Alejandro,Sánchez,33132631,1987-07-29,3439
1,Rodrigo Gabriel,Varela,35387663,1999-07-11,1537
1,Gonzalo Joaquin,Leal,35404267,1994-04-01,7993
1,Tiago Benjamin,Saldaña,39589706,1986-09-19,464
1,Facundo Benjamin,Pérez,27469637,1990-12-16,6386
1,Antonella Belén,Rotman,21017805,1999-02-11,7090
1,Emilio,Santos,26465131,1995-12-27,9952
1,Ignacio Nahuel,Castillo,29789035,1981-05-09,34
1,Alan Leonel,González,28975550,1996-12-01,7297
1,Julieta Abigail,Mancuso,38048460,1989-01-27,4363
1,Maria Isabel,Santana,35109636,1991-07-19,3748
1,Ana Gabriela,Rodríguez,20322847,1989-03-01,9685
1,Sofia Ayelen,Pérez,20025664,1988-10-15,1674
1,Gianella,Rivera,34563722,1980-03-25,5200
1,Juan Segundo,Casares,31707681,1982-11-22,501
1,Ailen,Benítez,36688485,1992-09-18,365
1,Jonathan,Pérez,36556481,2003-10-05,416
1,Alex,López,24903795,1985-02-27,8870
1,Sol Agustina,Farina,37961297,1983-09-23,150
1,Tiago Agustin,Portillo,35595327,1999-08-25,6245
1,Ariadna,Agüero,29301126,2001-02-12,3548
1,Kiara Aylen,Surace,25488689,1987-02-19,6915
1,Javier,Nave,27932478,1987-07-23,475
1,Cristian Ezequiel,Hernández,29612281,1997-07-04,8644
1,Daniel Agustin,Borges,34109372,2003-04-11,3632
1,Juan Roman,Rojas,34498275,1983-05-13,7174
1,Leonardo Gabriel,Marino,23212056,1981-04-08,8123
1,Gonzalo Emanuel,Santos,25460140,1994-10-26,9058
1,Maximo Gabriel,Santos,24324515,1994-10-20,3818
1,Miguel Alejandro,Loreto,35954721,1980-06-09,5663
1,Gastón Ezequiel,Pérez,32725250,1992-08-24,3782
1,Rodrigo Emanuel,Moreno,27836237,1980-11-16,3584
1,Lucas Valentin,Sánchez,32684732,2003-10-02,7530
1,Brenda Magali,Gutiérrez,21102535,1987-03-27,4747
1,Lucas Matias,Maradona,24157753,2001-01-01,352
1,Fernando Agustin,Sala,23447363,1997-09-05,6818
1,Gonzalo David,Portillo,24845422,1992-11-10,9116
1,Lucas Ivan,Flores,20471656,1994-06-24,1638
1,Joaquín Emanuel,Castillo,33463285,1985-02-24,3045
1,Francisco Gabriel,Soto,24658027,1991-11-18,4856
